GeneID	ChromosomeID	Start	End
M04C9.4	CHROMOSOME_I	9355072	9357079
F30A10.8	CHROMOSOME_I	9501268	9505164
C41G7.5	CHROMOSOME_I	9522578	9531130
K07A1.3	CHROMOSOME_I	9587200	9588128
T05F1.3	CHROMOSOME_I	9625056	9626006
T05F1.5	CHROMOSOME_I	9633179	9635937
C04F12.9	CHROMOSOME_I	9710088	9710767
C16C2.2	CHROMOSOME_I	9722550	9726263
K02A11.1	CHROMOSOME_I	9737823	9744122
F26E4.2	CHROMOSOME_I	9757879	9760818
F26E4.7	CHROMOSOME_I	9774207	9779541
Y106G6A.2	CHROMOSOME_I	9931866	9934290
T23D8.5	CHROMOSOME_I	9988346	9988796
F10G8.4	CHROMOSOME_I	10023810	10025831
T20F10.1	CHROMOSOME_I	10291894	10297922
F37D6.6	CHROMOSOME_I	10501585	10505949
F25H2.2	CHROMOSOME_I	10543024	10546425
F25H2.12	CHROMOSOME_I	10570079	10571904
T22A3.3	CHROMOSOME_I	10588177	10590466
T22A3.6	CHROMOSOME_I	10595545	10598490
B0511.5	CHROMOSOME_I	10628743	10631673
B0511.11	CHROMOSOME_I	10648601	10654179
R13H8.1	CHROMOSOME_I	10750343	10776700
Y37F4.6	CHROMOSOME_I	10869945	10875046
F49D11.8	CHROMOSOME_I	10924238	10925753
F36D1.9	CHROMOSOME_I	11274969	11276330
Y53H1B.1	CHROMOSOME_I	11294636	11297193
F56G4.2	CHROMOSOME_I	11355236	11356370
F56G4.3	CHROMOSOME_I	11358167	11359301
Y53H1C.2	CHROMOSOME_I	11400612	11416420
W04G5.3	CHROMOSOME_I	11629641	11629932
T02G6.5	CHROMOSOME_I	11815911	11819233
Y47H9C.5	CHROMOSOME_I	11877803	11887281
Y47H9C.15	CHROMOSOME_I	11889419	11890747
R06C1.4	CHROMOSOME_I	11930725	11931759
R06C1.6	CHROMOSOME_I	11947001	11953100
Y53C10A.2	CHROMOSOME_I	11967929	11968660
M01G12.12	CHROMOSOME_I	12098668	12105977
M01G12.9	CHROMOSOME_I	12109061	12112513
C47F8.8	CHROMOSOME_I	12328100	12329508
C47F8.1	CHROMOSOME_I	12335059	12336598
T27F6.2	CHROMOSOME_I	12476647	12478588
T27F6.4	CHROMOSOME_I	12484181	12486235
K11D2.1	CHROMOSOME_I	12497460	12504938
F33E2.2	CHROMOSOME_I	12565799	12572801
F33E2.5	CHROMOSOME_I	12591120	12597442
T26E3.3	CHROMOSOME_I	12669380	12674449
T26E3.2	CHROMOSOME_I	12679211	12681815
W02A11.5	CHROMOSOME_I	12749890	12752067
W02A11.8	CHROMOSOME_I	12758524	12759573
Y18D10A.11	CHROMOSOME_I	12861972	12863532
Y18D10A.19	CHROMOSOME_I	12918722	12919293
C47B2.3	CHROMOSOME_I	12964679	12966876
C47B2.7	CHROMOSOME_I	12978839	12982453
Y26D4A.2	CHROMOSOME_I	13066967	13069041
F44F1.7	CHROMOSOME_I	13269995	13272781
M01E5.1	CHROMOSOME_I	13274111	13276462
C01A2.6	CHROMOSOME_I	13379917	13384371
C01A2.1	CHROMOSOME_I	13410157	13411451
W05H12.1	CHROMOSOME_I	13418458	13423379
Y87G2A.17	CHROMOSOME_I	13491387	13493319
Y87G2A.18	CHROMOSOME_I	13511925	13514320
W09C5.5	CHROMOSOME_I	13640305	13648405
Y6B3B.3	CHROMOSOME_I	13709779	13719528
W04A8.2	CHROMOSOME_I	13840706	13841846
W04A8.4	CHROMOSOME_I	13841895	13842739
W04A8.3	CHROMOSOME_I	13844729	13846926
W04A8.5	CHROMOSOME_I	13849618	13850868
Y71A12B.2	CHROMOSOME_I	13890342	13891458
Y71A12B.3	CHROMOSOME_I	13893133	13894476
Y71A12B.15	CHROMOSOME_I	13992582	13996221
Y71A12B.12	CHROMOSOME_I	14004459	14008471
F47G4.2	CHROMOSOME_I	14078199	14082536
Y63D3A.3	CHROMOSOME_I	14088094	14089858
K03D10.1	CHROMOSOME_I	14128611	14142204
C37A5.1	CHROMOSOME_I	14158510	14161718
F49B2.3	CHROMOSOME_I	14311009	14312871
F49B2.5	CHROMOSOME_I	14322237	14328958
Y105E8A.12	CHROMOSOME_I	14436907	14451878
Y105E8A.27	CHROMOSOME_I	14441540	14444332
Y105E8B.11	CHROMOSOME_I	14620388	14620632
Y105E8B.1	CHROMOSOME_I	14620759	14631254
K05C4.11	CHROMOSOME_I	14721763	14724739
K05C4.9	CHROMOSOME_I	14726878	14730719
F39B2.8	CHROMOSOME_I	14760648	14768980
F39B2.2	CHROMOSOME_I	14790244	14790934
F32A7.5	CHROMOSOME_I	14846478	14850326
F11C3.3	CHROMOSOME_I	14855899	14863540
ZK909.3	CHROMOSOME_I	14953490	14955611
ZK909.4	CHROMOSOME_I	14961501	14965355
F31C3.6	CHROMOSOME_I	15053127	15059003
F23F1.9	CHROMOSOME_II	45040	47480
C23H3.4	CHROMOSOME_II	51072	57607
C50D2.10	CHROMOSOME_II	99726	100441
K01A2.8	CHROMOSOME_II	309482	312210
C24H12.6	CHROMOSOME_II	417349	418882
C24H12.7	CHROMOSOME_II	420056	422067
C24H12.2	CHROMOSOME_II	436867	438748
T27A1.1	CHROMOSOME_II	503229	506014
W08F4.5	CHROMOSOME_II	567691	568797
T04B8.5	CHROMOSOME_II	614767	624543
F46F5.5	CHROMOSOME_II	812141	813708
Y46B2A.2	CHROMOSOME_II	851656	856210
T07D3.3	CHROMOSOME_II	893863	897379
R07C3.15	CHROMOSOME_II	917624	919417
R07C3.6	CHROMOSOME_II	923888	925148
C32B5.16	CHROMOSOME_II	958961	960179
C32B5.14	CHROMOSOME_II	965580	966959
C32B5.6	CHROMOSOME_II	968406	970523
C32B5.1	CHROMOSOME_II	986003	988667
F45D11.10	CHROMOSOME_II	988737	991137
M01D1.3	CHROMOSOME_II	1023701	1024786
M01D1.7	CHROMOSOME_II	1039697	1040564
M01D1.10	CHROMOSOME_II	1042969	1044025
K02E7.9	CHROMOSOME_II	1059660	1060803
K02E7.12	CHROMOSOME_II	1070640	1071490
T13B5.5	CHROMOSOME_II	1108841	1110992
F47F6.1	CHROMOSOME_II	1233244	1244035
F47F6.5	CHROMOSOME_II	1255937	1258353
H17B01.3	CHROMOSOME_II	1484094	1485951
K05F6.6	CHROMOSOME_II	1547060	1549952
K05F6.3	CHROMOSOME_II	1550712	1551804
K05F6.1	CHROMOSOME_II	1568667	1573300
K05F6.9	CHROMOSOME_II	1570082	1571134
C08E3.9	CHROMOSOME_II	1616912	1619004
ZC204.9	CHROMOSOME_II	1649141	1650174
ZC204.10	CHROMOSOME_II	1650819	1651580
ZC204.7	CHROMOSOME_II	1652460	1653497
ZC204.3	CHROMOSOME_II	1655217	1656148
F58E1.3	CHROMOSOME_II	1682533	1683579
F45C12.11	CHROMOSOME_II	1704904	1706500
F45C12.8	CHROMOSOME_II	1710259	1711417
F45C12.6	CHROMOSOME_II	1722778	1724179
F45C12.5	CHROMOSOME_II	1724655	1727106
F45C12.2	CHROMOSOME_II	1732276	1733291
F36H5.8	CHROMOSOME_II	1749984	1751597
C52E2.6	CHROMOSOME_II	1846984	1848154
C52E2.3	CHROMOSOME_II	1851244	1852657
C16C4.18	CHROMOSOME_II	1860628	1861080
C16C4.6	CHROMOSOME_II	1862634	1863782
F52C6.6	CHROMOSOME_II	1912450	1912841
F52C6.10	CHROMOSOME_II	1920016	1921104
F52C6.11	CHROMOSOME_II	1921448	1922744
F52C6.2	CHROMOSOME_II	1926460	1927347
ZK250.6	CHROMOSOME_II	1944058	1947911
ZK250.2	CHROMOSOME_II	1948693	1949894
ZK250.9	CHROMOSOME_II	1963063	1967936
Y16E11A.2	CHROMOSOME_II	1979245	1984118
Y16E11A.1	CHROMOSOME_II	1987285	1990667
F59H6.5	CHROMOSOME_II	2003377	2008250
F59H6.2	CHROMOSOME_II	2019654	2022441
F59H6.7	CHROMOSOME_II	2022673	2023614
F59H6.8	CHROMOSOME_II	2025642	2026610
F59H6.9	CHROMOSOME_II	2027624	2028812
F59H6.11	CHROMOSOME_II	2030750	2031944
F59H6.12	CHROMOSOME_II	2032569	2033226
F59H6.1	CHROMOSOME_II	2035702	2039386
B0047.1	CHROMOSOME_II	2040271	2041615
B0047.3	CHROMOSOME_II	2044624	2045585
B0047.4	CHROMOSOME_II	2045963	2046656
F07E5.1	CHROMOSOME_II	2064462	2065870
F07E5.9	CHROMOSOME_II	2076156	2080526
T16A1.7	CHROMOSOME_II	2086719	2090618
C40A11.10	CHROMOSOME_II	2136532	2137300
C40A11.7	CHROMOSOME_II	2148806	2150310
C40A11.8	CHROMOSOME_II	2150552	2151290
C33C12.8	CHROMOSOME_II	2182503	2186433
F54A3.3	CHROMOSOME_II	2233540	2243533
F54A3.2	CHROMOSOME_II	2243651	2254369
K09F6.8	CHROMOSOME_II	2294656	2296103
B0281.4	CHROMOSOME_II	2297847	2298793
F53G2.2	CHROMOSOME_II	2481921	2485922
K02F6.7	CHROMOSOME_II	2525220	2529244
F33H12.6	CHROMOSOME_II	2594052	2598903
F22E5.13	CHROMOSOME_II	2647694	2649639
Y47G7B.2	CHROMOSOME_II	2705921	2707982
F29A7.1	CHROMOSOME_II	2762417	2764015
F08D12.9	CHROMOSOME_II	2771082	2772266
Y110A2AL.10	CHROMOSOME_II	2871377	2871914
Y110A2AL.1	CHROMOSOME_II	2875101	2876765
Y110A2AL.14	CHROMOSOME_II	2889104	2894395
Y110A2AR.3	CHROMOSOME_II	2913711	2919314
ZK355.2	CHROMOSOME_II	2923917	2926951
K08A2.5	CHROMOSOME_II	2976639	2986981
B0454.9	CHROMOSOME_II	3052596	3054348
Y25C1A.13	CHROMOSOME_II	3109371	3111227
ZC239.20	CHROMOSOME_II	3206020	3206541
ZC239.21	CHROMOSOME_II	3206939	3207388
ZC239.6	CHROMOSOME_II	3209478	3211376
C17F4.8	CHROMOSOME_II	3230817	3234813
F02E11.4	CHROMOSOME_II	3276256	3277305
Y46D2A.1	CHROMOSOME_II	3324021	3326431
F14D2.15	CHROMOSOME_II	3342334	3343553
F14D2.13	CHROMOSOME_II	3343684	3344967
F14D2.12	CHROMOSOME_II	3345280	3346371
F14D2.8	CHROMOSOME_II	3347574	3349870
F14D2.4	CHROMOSOME_II	3350250	3358981
F14D2.2	CHROMOSOME_II	3359139	3360255
F14D2.1	CHROMOSOME_II	3360221	3361414
Y49F6C.5	CHROMOSOME_II	3371310	3372145
Y49F6C.4	CHROMOSOME_II	3375143	3376714
T06D4.1	CHROMOSOME_II	3381836	3384020
C16C8.20	CHROMOSOME_II	3446957	3448020
C16C8.11	CHROMOSOME_II	3453764	3454680
Y49F6A.1	CHROMOSOME_II	3603387	3607384
Y49F6A.5	CHROMOSOME_II	3607937	3609861
F19B10.10	CHROMOSOME_II	3677535	3681415
C46E10.4	CHROMOSOME_II	3717138	3719767
C46E10.8	CHROMOSOME_II	3725906	3727459
F12E12.8	CHROMOSOME_II	3749069	3750719
T24E12.11	CHROMOSOME_II	3778406	3779555
F53C3.6	CHROMOSOME_II	3898142	3899709
T20H12.1	CHROMOSOME_II	3949400	3951343
K07D4.2	CHROMOSOME_II	4044771	4047247
R03H10.6	CHROMOSOME_II	4171294	4173875
F31D5.5	CHROMOSOME_II	4194833	4204147
C16A11.10	CHROMOSOME_II	4231383	4234620
Y52E8A.2	CHROMOSOME_II	4320674	4321624
B0286.4	CHROMOSOME_II	4372740	4376742
ZK430.2	CHROMOSOME_II	4420255	4422314
T12C9.3	CHROMOSOME_II	4441094	4453151
B0304.4	CHROMOSOME_II	4522462	4523222
B0304.2	CHROMOSOME_II	4523615	4524592
T05A7.1	CHROMOSOME_II	4678026	4679638
ZK546.15	CHROMOSOME_II	4948154	4949486
C27A2.7	CHROMOSOME_II	5069764	5071365
C27D6.4	CHROMOSOME_II	5179038	5187569
EGAP2.2	CHROMOSOME_II	5230081	5230501
F09E5.14	CHROMOSOME_II	5342672	5344877
F09E5.3	CHROMOSOME_II	5373997	5375178
EEED8.2	CHROMOSOME_II	5416714	5418447
F56D1.1	CHROMOSOME_II	5478578	5480492
ZK177.2	CHROMOSOME_II	5519217	5520200
C17C3.2	CHROMOSOME_II	5566082	5566692
C17C3.13	CHROMOSOME_II	5567786	5568396
C17G10.1	CHROMOSOME_II	5596547	5598450
F59E12.6	CHROMOSOME_II	5626589	5629575
C25H3.12	CHROMOSOME_II	5659937	5660786
C25H3.7	CHROMOSOME_II	5666755	5668930
C25H3.4	CHROMOSOME_II	5691721	5693935
F59G1.1	CHROMOSOME_II	5911324	5916911
F59G1.7	CHROMOSOME_II	5917422	5918319
F21H12.5	CHROMOSOME_II	6088667	6091480
F40H3.6	CHROMOSOME_II	6186973	6187355
T24H7.4	CHROMOSOME_II	6245131	6246257
F13H8.8	CHROMOSOME_II	6265650	6267623
C29F5.2	CHROMOSOME_II	6299527	6301419
C32D5.12	CHROMOSOME_II	6356416	6359005
K10B2.2	CHROMOSOME_II	6366991	6369210
R05G9.3	CHROMOSOME_II	6500396	6501518
T19D12.4	CHROMOSOME_II	6631154	6637099
F31E8.4	CHROMOSOME_II	6799119	6800144
C04A2.1	CHROMOSOME_II	6848060	6851527
B0252.4	CHROMOSOME_II	6912542	6913365
C15F1.5	CHROMOSOME_II	6967904	6970585
C15F1.2	CHROMOSOME_II	6979951	6988629
C52E12.6	CHROMOSOME_II	7022927	7024930
T02G5.8	CHROMOSOME_II	7073796	7075551
T02G5.14	CHROMOSOME_II	7089650	7092274
F10E7.2	CHROMOSOME_II	7122242	7124401
C27H5.2	CHROMOSOME_II	7155631	7160938
F43E2.8	CHROMOSOME_II	7350119	7352636
F43E2.6	CHROMOSOME_II	7366591	7368846
Y9D1A.1	CHROMOSOME_II	7446672	7448542
D1022.4	CHROMOSOME_II	7456242	7457330
B0228.4	CHROMOSOME_II	7724903	7752726
C06A8.3	CHROMOSOME_II	7790560	7791378
T09A5.2	CHROMOSOME_II	7842417	7845644
T09A5.7	CHROMOSOME_II	7854759	7855719
DH11.2	CHROMOSOME_II	8012816	8015254
T05H10.6	CHROMOSOME_II	8066111	8068184
C41C4.1	CHROMOSOME_II	8105614	8106967
C41C4.3	CHROMOSOME_II	8108941	8112163
F14F11.1	CHROMOSOME_II	8305744	8321471
M05D6.7	CHROMOSOME_II	8485938	8487563
T13H5.3	CHROMOSOME_II	8520911	8523471
T13H5.5	CHROMOSOME_II	8525685	8526806
T07D4.2	CHROMOSOME_II	8869565	8874020
F44G4.3	CHROMOSOME_II	8997024	8997664
F35H8.5	CHROMOSOME_II	9575971	9581469
ZK1320.12	CHROMOSOME_II	9669324	9671499
Y53C12A.2	CHROMOSOME_II	9706496	9708885
Y53C12B.7	CHROMOSOME_II	9750413	9752324
ZK1321.3	CHROMOSOME_II	9768451	9769847
ZK938.7	CHROMOSOME_II	9839191	9842036
F52H3.4	CHROMOSOME_II	10041134	10042515
T09F3.4	CHROMOSOME_II	10395707	10396785
ZK673.3	CHROMOSOME_II	10450658	10452003
ZK673.4	CHROMOSOME_II	10452920	10455199
R166.3	CHROMOSOME_II	10537799	10539332
C06A1.3	CHROMOSOME_II	10572263	10574070
C14A4.1	CHROMOSOME_II	10579955	10581044
C52A11.4	CHROMOSOME_II	10738647	10775061
Y19D2B.2	CHROMOSOME_II	10923716	10924654
R03D7.7	CHROMOSOME_II	10951604	10953165
F33A8.6	CHROMOSOME_II	11050260	11058046
C09H10.10	CHROMOSOME_II	11095045	11096475
C09H10.7	CHROMOSOME_II	11108159	11109583
F37H8.2	CHROMOSOME_II	11171446	11175479
T06D8.8	CHROMOSOME_II	11237445	11239092
T24F1.3	CHROMOSOME_II	11306399	11311940
VW02B12L.3	CHROMOSOME_II	11442725	11444009
F07A11.1	CHROMOSOME_II	11588464	11592060
C47D12.4	CHROMOSOME_II	11681825	11682844
C47D12.8	CHROMOSOME_II	11696171	11705359
VF13D12L.1	CHROMOSOME_II	11698317	11700300
F44E5.1	CHROMOSOME_II	11774144	11774559
F43G6.8	CHROMOSOME_II	11812296	11814108
F43G6.5	CHROMOSOME_II	11814839	11816575
Y6D1A.2	CHROMOSOME_II	11818233	11819848
W03C9.6	CHROMOSOME_II	11953239	11960741
W03C9.1	CHROMOSOME_II	11960989	11962091
Y57A10A.25	CHROMOSOME_II	12251737	12256628
Y57A10A.31	CHROMOSOME_II	12289405	12300560
Y57A10C.10	CHROMOSOME_II	12440132	12441264
F15A4.11	CHROMOSOME_II	12459772	12460549
T21B4.17	CHROMOSOME_II	12520212	12524478
Y38E10A.14	CHROMOSOME_II	12623189	12623952
Y38E10A.28	CHROMOSOME_II	12629712	12631995
Y46G5A.7	CHROMOSOME_II	12755158	12756195
Y46G5A.19	CHROMOSOME_II	12804862	12810874
F58G1.7	CHROMOSOME_II	12943862	12948143
F42G4.7	CHROMOSOME_II	13046367	13047287
F42G4.2	CHROMOSOME_II	13047941	13050803
F32A11.1	CHROMOSOME_II	13157335	13160428
F15D4.5	CHROMOSOME_II	13245430	13247774
F15D4.6	CHROMOSOME_II	13249093	13249895
Y48C3A.1	CHROMOSOME_II	13260495	13261201
Y48C3A.4	CHROMOSOME_II	13279773	13285817
E01G4.3	CHROMOSOME_II	13460991	13469602
E01G4.5	CHROMOSOME_II	13472431	13473923
F37B1.5	CHROMOSOME_II	13622965	13624433
C31C9.3	CHROMOSOME_II	13641562	13643823
W02B8.2	CHROMOSOME_II	13908925	13915253
Y39G8B.2	CHROMOSOME_II	13973690	13976221
W01G7.4	CHROMOSOME_II	14060739	14062623
W03H9.2	CHROMOSOME_II	14142993	14143845
Y48B6A.10	CHROMOSOME_II	14214409	14217139
Y48B6A.12	CHROMOSOME_II	14226377	14234120
Y54G11A.3	CHROMOSOME_II	14276651	14283977
R06A4.2	CHROMOSOME_II	14362019	14365179
K04B12.2	CHROMOSOME_II	14434452	14438977
C01G12.3	CHROMOSOME_II	14581465	14582360
Y54E2A.1	CHROMOSOME_II	14734410	14739243
Y54E2A.3	CHROMOSOME_II	14752887	14753894
Y53F4B.2	CHROMOSOME_II	14959376	14964110
Y53F4B.3	CHROMOSOME_II	14968637	14969354
Y53F4B.5	CHROMOSOME_II	14980930	14984009
Y53F4B.43	CHROMOSOME_II	14988306	14992667
Y53F4B.9	CHROMOSOME_II	15004865	15010416
Y53F4B.11	CHROMOSOME_II	15010792	15013408
Y53F4B.12	CHROMOSOME_II	15019223	15025768
Y53F4B.16	CHROMOSOME_II	15051615	15055718
Y53F4B.17	CHROMOSOME_II	15058227	15062057
W05G11.2	CHROMOSOME_III	57702	58698
C29F9.10	CHROMOSOME_III	106052	107453
C29F9.11	CHROMOSOME_III	109322	111045
C29F9.1	CHROMOSOME_III	132425	134405
T17A3.2	CHROMOSOME_III	134494	137965
T17A3.10	CHROMOSOME_III	154475	156674
T17A3.1	CHROMOSOME_III	156824	163542
F40G9.8	CHROMOSOME_III	163598	164875
Y50D7A.2	CHROMOSOME_III	268458	282882
Y50D7A.9	CHROMOSOME_III	284117	289439
T22F7.1	CHROMOSOME_III	542066	546535
T19C3.2	CHROMOSOME_III	614707	617447
C09F5.1	CHROMOSOME_III	658709	662734
C24A1.2	CHROMOSOME_III	688739	715823
T17H7.4	CHROMOSOME_III	727212	752426
F42G9.4	CHROMOSOME_III	761490	762308
B0412.2	CHROMOSOME_III	811828	813764
K02F3.4	CHROMOSOME_III	833858	835814
T24C4.2	CHROMOSOME_III	867512	869860
T12B5.6	CHROMOSOME_III	933464	936067
T12B5.10	CHROMOSOME_III	944780	946292
T12B5.11	CHROMOSOME_III	949327	950611
T12B5.4	CHROMOSOME_III	950882	952055
T12B5.3	CHROMOSOME_III	952544	953803
R06B10.4	CHROMOSOME_III	991881	1001907
Y92C3B.2	CHROMOSOME_III	1062792	1076555
F58B6.2	CHROMOSOME_III	1103224	1112298
Y119D3B.12	CHROMOSOME_III	1202548	1207329
Y119D3B.6	CHROMOSOME_III	1249493	1251862
Y119D3B.4	CHROMOSOME_III	1259424	1260184
Y82E9BL.13	CHROMOSOME_III	1305755	1308294
Y82E9BL.19	CHROMOSOME_III	1332016	1333817
Y82E9BR.11	CHROMOSOME_III	1376945	1378003
Y82E9BR.22	CHROMOSOME_III	1406559	1409238
Y82E9BR.15	CHROMOSOME_III	1415546	1417187
Y82E9BR.17	CHROMOSOME_III	1447529	1455770
Y22D7AL.5	CHROMOSOME_III	1619742	1625920
Y22D7AR.11	CHROMOSOME_III	1703547	1705604
F53A3.1	CHROMOSOME_III	1939544	1943628
F53A3.3	CHROMOSOME_III	1950492	1951427
Y39A3B.3	CHROMOSOME_III	1985109	1987466
Y48G9A.6	CHROMOSOME_III	2117842	2119091
Y54F10BM.9	CHROMOSOME_III	2295344	2304920
Y54F10BM.14	CHROMOSOME_III	2343571	2346581
